# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0905          	2.00566357e+00	1.45312782e-18	-1.52719481e-02	1.67991429e-03	-4.10424001e-04	2.20622992e-01	1.00451170e+00	1.00115187e+00	2.20622992e-01	-2.20622992e-01	-8.04639804e-03	-7.22555004e-03
0.091           	2.01272089e+00	1.45858851e-18	-1.51389397e-02	1.66528337e-03	-4.14093653e-04	2.21399297e-01	1.00802573e+00	1.00469516e+00	2.21399297e-01	-2.21399297e-01	-7.98356352e-03	-7.15537622e-03
0.0915          	2.01592047e+00	1.46473768e-18	-1.58449097e-02	1.74294007e-03	-4.17819347e-04	2.21751252e-01	1.00970318e+00	1.00621730e+00	2.21751252e-01	-2.21751252e-01	-8.34027420e-03	-7.50463550e-03
0.092           	2.02128603e+00	1.47090780e-18	-1.58445212e-02	1.74289733e-03	-4.21603898e-04	2.22341463e-01	1.01238591e+00	1.00890012e+00	2.22341463e-01	-2.22341463e-01	-8.34386451e-03	-7.50065671e-03
0.0925          	2.02668264e+00	1.47709033e-18	-1.58733543e-02	1.74606897e-03	-4.25446260e-04	2.22935091e-01	1.01508739e+00	1.01159525e+00	2.22935091e-01	-2.22935091e-01	-8.36212340e-03	-7.51123088e-03
0.093           	2.03196154e+00	1.48345933e-18	-1.59504636e-02	1.75455099e-03	-4.29344441e-04	2.23515769e-01	1.01773532e+00	1.01422622e+00	2.23515769e-01	-2.23515769e-01	-8.40457622e-03	-7.54588733e-03
0.0935          	2.03723778e+00	1.48895860e-18	-1.65620017e-02	1.82182019e-03	-4.33305178e-04	2.24096156e-01	1.02044071e+00	1.01679707e+00	2.24096156e-01	-2.24096156e-01	-8.71430603e-03	-7.84769568e-03
0.094           	2.04311522e+00	1.49560027e-18	-1.59871082e-02	1.75858190e-03	-4.37324064e-04	2.24742674e-01	1.02331619e+00	1.01979903e+00	2.24742674e-01	-2.24742674e-01	-8.43087817e-03	-7.55623004e-03
0.0945          	2.04873557e+00	1.50239964e-18	-1.56228243e-02	1.71851067e-03	-4.41397976e-04	2.25360912e-01	1.02608629e+00	1.02264927e+00	2.25360912e-01	-2.25360912e-01	-8.25281011e-03	-7.37001416e-03
0.095           	2.05318036e+00	1.50608583e-18	-1.58941927e-02	1.74836120e-03	-4.45537037e-04	2.25849839e-01	1.02833854e+00	1.02484182e+00	2.25849839e-01	-2.25849839e-01	-8.39263340e-03	-7.50155933e-03
0.0955          	2.05789618e+00	1.51028655e-18	-1.70902405e-02	1.87992646e-03	-4.49750598e-04	2.26368580e-01	1.03082802e+00	1.02706816e+00	2.26368580e-01	-2.26368580e-01	-8.99487085e-03	-8.09536966e-03
0.096           	2.06348456e+00	1.51658874e-18	-1.61144598e-02	1.77259058e-03	-4.54016362e-04	2.26983301e-01	1.03351487e+00	1.02996969e+00	2.26983301e-01	-2.26983301e-01	-8.51124625e-03	-7.60321353e-03
0.0965          	2.06905908e+00	1.52285180e-18	-1.58526321e-02	1.74378953e-03	-4.58333935e-04	2.27596499e-01	1.03627333e+00	1.03278575e+00	2.27596499e-01	-2.27596499e-01	-8.38465000e-03	-7.46798213e-03
